batch:10  lamda:100.0
epoch,dis_loss,gan_mae,gan_entropy,validation_mae,validation_entropy
0,0.266792,24.9394,13.1763,54796.4,54758.0
1,0.00261076,6.20298,5.44325,51.5705,51.8305
2,0.0249601,5.63657,5.90918,11.523,11.5001
3,0.0140586,7.18533,8.0072,13.4865,13.5521
4,0.00163051,4.95162,4.59481,13.2218,13.2123
5,0.000416555,3.13358,2.90418,13.1919,13.1967
6,0.0022103,3.16456,2.96783,13.9828,13.9576
7,0.00239205,2.63553,2.63985,14.2672,14.2791
8,0.117573,2.80487,2.85708,17.3262,17.2989
9,0.00824703,4.59414,4.2453,14.1679,14.2785
10,0.0024652,3.3803,3.12867,13.4728,13.4656
11,0.00193673,3.01999,3.0274,13.6421,13.646
12,0.00391166,2.72392,2.66783,13.6746,13.65
13,0.0014378,2.83582,3.10188,13.7723,13.7852
14,0.00426242,2.63137,2.48625,13.9137,13.8735
15,0.0325427,2.55469,2.39272,15.2184,15.1956
16,0.00205771,3.08458,3.13944,14.2145,14.2222
17,0.000221305,2.40153,2.53269,13.649,13.677
18,0.00161691,2.55607,2.29517,13.5444,13.5587
19,0.00197134,2.38107,2.30301,13.4981,13.5803
20,0.0960853,2.65348,2.48286,15.3088,15.3122
21,0.0115606,3.99623,3.53146,14.722,14.7774
22,0.0112534,2.76619,3.03727,13.7858,13.736
23,0.0763975,2.56845,2.71677,14.7313,14.7403
24,0.192953,4.98545,4.0573,5.59136,5.59073
25,0.102316,4.64281,4.15046,14.1065,14.0936
26,0.320271,2.78867,2.91327,7.90638,8.06006
27,0.754384,3.25187,3.2269,5.79856,5.79912
28,0.132677,4.36364,4.27457,14.3286,14.3458
29,1.01576,2.74723,2.82658,4.5849,4.60378
30,0.141353,4.16869,4.03737,13.5415,13.4605
31,0.164497,2.65682,2.75006,7.26433,7.1624
32,0.207777,2.52448,2.53339,7.54598,7.51008
33,0.0605626,2.64908,2.47181,4.86816,4.84824
34,0.103323,2.60757,2.46861,3.53553,3.46641
35,0.0552326,2.62754,2.24879,2.69506,2.7724
36,0.0230779,1.986,2.24667,2.49018,2.45376
37,0.87168,2.24845,2.00191,3.26613,3.30752
38,0.595919,2.71898,2.97161,2.85708,2.86644
39,0.550241,2.5997,2.46668,2.94807,3.0308
40,1.7551,2.89685,3.20141,3.58842,3.57156
